"mu","id","dataset","sum_trnas","sum_eftu","sum_affil","sum_rb","sum_all_klumpp","sum_all_wu"
0.91,"C2","mori2021",0.0245090804,0.03805951,0.0594338691,0.15485531563,0.0625685904,0.0839429495
0.77,"C3","mori2021",0.0226227161,0.0369289,0.05659285849,0.14510576635,0.0595516161,0.07921557459
0.69,"C4","mori2021",0.0211269319,0.03601749,0.05486709859,0.13758371542,0.0571444219,0.07599403049
0.56,"C5","mori2021",0.0198386297,0.03589802,0.05351536104,0.1253252397,0.0557366497,0.07335399074
0.48,"C6","mori2021",0.0192490719,0.0351323,0.05191153402,0.1098208423,0.0543813719,0.07116060592
0.35,"C7","mori2021",0.0181547747,0.03443203,0.04952145558,0.0947265689,0.0525868047,0.06767623028
0.72,"C8","mori2021",0.0211814446,0.03694446,0.05546335971,0.13880769414,0.0581259046,0.07664480431
0.56,"D6","mori2021",0.0198726056,0.03911898,0.05633342209,0.1222053054,0.0589915856,0.07620602769
0.33,"D7","mori2021",0.018073372,0.03568153,0.05059605882,0.0934035925,0.053754902,0.06866943082
0.49,"D8","mori2021",0.0194454657,0.03682666,0.0534963996,0.1119345583,0.0562721257,0.0729418653
0.81,"F4","mori2021",0.0233407527,0.03794842,0.05849524345,0.15578507694,0.0612891727,0.08183599615
0.71,"F5","mori2021",0.0211905985,0.03746829,0.05700131321,0.14111719528,0.0586588885,0.07819191171
0.55,"F6","mori2021",0.0198189497,0.03541354,0.05304204633,0.1257413523,0.0552324897,0.07286099603
0.5,"F7","mori2021",0.0197856745,0.03725381,0.05418047852,0.1151819853,0.0570394845,0.07396615302
0.34,"F8","mori2021",0.0184291465,0.03490277,0.04979013831,0.0952484836,0.0533319165,0.06821928481
0.501070251007189,"Acetate","mori2021",0.01692353336,0.03243959,0.04642586836,0.1082870621,0.04936312336,0.06334940172
0.904105018121668,"Carbon 46","mori2021",0.02144491564,0.04172309,0.0596660249,0.1575545672,0.06316800564,0.08111094054
0.681784112026176,"Carbon 61","mori2021",0.01907040224,0.03949472,0.05498975022,0.132337975,0.05856512224,0.07406015246
1.12402245496207,"Carbon 37","mori2021",0.02305429288,0.04330777,0.06175919135,0.17092522913,0.06636206288,0.08481348423
0.489280362748197,"Carbon 85","mori2021",0.01794092381,0.03967566,0.05402250629,0.1099274372,0.05761658381,0.0719634301
0.831776616671934,"Carbon 50","mori2021",0.02123962591,0.0400818,0.05825966025,0.1625202915,0.06132142591,0.07949928616
0.770163533955495,"Carbon 54","mori2021",0.01991842121,0.04095996,0.05842093799,0.1555165468,0.06087838121,0.0783393592
0.848751649665239,"Carbon 49","mori2021",0.02181260883,0.04297062,0.06047875367,0.1525034506,0.06478322883,0.0822913625
0.96,"M1","wu2023",0.023941,0.037,0.0592658,0.1495737,0.060941,0.0832068
0.75,"M2","wu2023",0.020954,0.035,0.0545885,0.1335636,0.055954,0.0755425
0.54,"M3","wu2023",0.0195695,0.0346,0.0527033,0.115014,0.0541695,0.0722728
0.33,"M4","wu2023",0.0181031,0.0296,0.0451628,0.087463,0.0477031,0.0632659
1.77,"N5","wu2023",0.032849,0.0544,0.0901806,0.256732,0.087249,0.1230296
1.42,"N6","wu2023",0.029496,0.0525,0.084962,0.225826,0.081996,0.114458
1.58,"N7","wu2023",0.029579,0.0472,0.0812466,0.2291635,0.076779,0.1108256
1.32,"N8","wu2023",0.026697,0.0444,0.0751938,0.2016628,0.071097,0.1018908
0.95,"P1","wu2023",0.024686,0.0356,0.0584062,0.1574758,0.060286,0.0830922
0.73,"P8","wu2023",0.020827,0.0344,0.0543776,0.1361957,0.055227,0.0752046
0.53,"P9","wu2023",0.0188573,0.0324,0.050022,0.10974,0.0512573,0.0688793
0.35,"P10","wu2023",0.0172302,0.0313,0.0456344,0.080703,0.0485302,0.0628646
