"mu","id","dataset","sum_trnas","sum_eftu","phi_T"
0.91,"C2","mori2021",0.0245090804,0.03805951,0.0625685904
0.77,"C3","mori2021",0.0226227161,0.0369289,0.0595516161
0.69,"C4","mori2021",0.0211269319,0.03601749,0.0571444219
0.56,"C5","mori2021",0.0198386297,0.03589802,0.0557366497
0.48,"C6","mori2021",0.0192490719,0.0351323,0.0543813719
0.35,"C7","mori2021",0.0181547747,0.03443203,0.0525868047
0.72,"C8","mori2021",0.0211814446,0.03694446,0.0581259046
0.56,"D6","mori2021",0.0198726056,0.03911898,0.0589915856
0.33,"D7","mori2021",0.018073372,0.03568153,0.053754902
0.49,"D8","mori2021",0.0194454657,0.03682666,0.0562721257
0.81,"F4","mori2021",0.0233407527,0.03794842,0.0612891727
0.71,"F5","mori2021",0.0211905985,0.03746829,0.0586588885
0.55,"F6","mori2021",0.0198189497,0.03541354,0.0552324897
0.5,"F7","mori2021",0.0197856745,0.03725381,0.0570394845
0.34,"F8","mori2021",0.0184291465,0.03490277,0.0533319165
0.501070251007189,"Acetate","mori2021",0.01692353336,0.03243959,0.04936312336
0.904105018121668,"Carbon 46","mori2021",0.02144491564,0.04172309,0.06316800564
0.681784112026176,"Carbon 61","mori2021",0.01907040224,0.03949472,0.05856512224
1.12402245496207,"Carbon 37","mori2021",0.02305429288,0.04330777,0.06636206288
0.489280362748197,"Carbon 85","mori2021",0.01794092381,0.03967566,0.05761658381
0.831776616671934,"Carbon 50","mori2021",0.02123962591,0.0400818,0.06132142591
0.770163533955495,"Carbon 54","mori2021",0.01991842121,0.04095996,0.06087838121
0.848751649665239,"Carbon 49","mori2021",0.02181260883,0.04297062,0.06478322883
0.96,"M1","wu2023",0.023941,0.037,0.060941
0.75,"M2","wu2023",0.020954,0.035,0.055954
0.54,"M3","wu2023",0.0195695,0.0346,0.0541695
0.33,"M4","wu2023",0.0181031,0.0296,0.0477031
1.77,"N5","wu2023",0.032849,0.0544,0.087249
1.42,"N6","wu2023",0.029496,0.0525,0.081996
1.58,"N7","wu2023",0.029579,0.0472,0.076779
1.32,"N8","wu2023",0.026697,0.0444,0.071097
0.95,"P1","wu2023",0.024686,0.0356,0.060286
0.73,"P8","wu2023",0.020827,0.0344,0.055227
0.53,"P9","wu2023",0.0188573,0.0324,0.0512573
0.35,"P10","wu2023",0.0172302,0.0313,0.0485302
