#####################################################################################,,,,,,
# Ribosomal Protein Mass Fractions in E. coli,,,,,,
# =================================================,,,,,,
# Collated measurements of the ribosomal protein proteome mass fraction in E. coli,,,,,,
# and the corresponding steady-state growth rate. Growth rates are  provided in ,,,,,,
"# inverse hours. The ""notes"" column provides details regarding where ",,,,,,
# the data came from in each source entry. ,,,,,,
#####################################################################################,,,,,,
growth_rate_hr,mass_fraction,source,method,notes,medium,rp_ratio
1.934,0.272,"Li et al., 2014",Ribosomal Profiling,Data taken from Belliveau and Chure et al. 2021,AA,NA
1.569,0.198,"Li et al., 2014",Ribosomal Profiling,Data taken from Belliveau and Chure et al. 2021,AA,NA
0.739,0.124,"Li et al., 2014",Ribosomal Profiling,Data taken from Belliveau and Chure et al. 2021,MIN,NA
0.66,0.118,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,42°C glucose,NA
0.3,0.065,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Acetate,NA
0.12,0.059,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,chemostat µ=0.12,NA
0.2,0.063,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,chemostat µ=0.20,NA
0.35,0.07,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,chemostat µ=0.35,NA
0.5,0.094,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,chemostat µ=0.5,NA
0.65,0.121,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Fructose,NA
0.42,0.088,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Fumarate,NA
0.26,0.073,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Galactose ,NA
0.46,0.098,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Glucosamine,NA
0.58,0.12,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Glucose,NA
0.47,0.103,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Glycerol,NA
1.27,0.148,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Glycerol + AA,NA
1.9,0.204,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,LB,NA
0.47,0.09,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Mannose,NA
0.55,0.104,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Xylose,NA
0.63,0.105,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,pH6 glucose,NA
0.4,0.081,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Pyruvate,NA
0.44,0.095,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Succinate,NA
0.55,0.113,"Schmidt et al., 2016",Mass Spectrometry,Data taken from Belliveau and Chure et al. 2021,Xylose,NA
0,0.04,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.033,0.044,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.128,0.055,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.197,0.059,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.231,0.061,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.285,0.067,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.336,0.069,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.407,0.078,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.418,0.077,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.452,0.078,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.486,0.083,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.55,0.086,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.673,0.098,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.686,0.098,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.7,0.098,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.717,0.098,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.744,0.106,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.918,0.115,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.945,0.124,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.993,0.121,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.975,0.134,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
1.098,0.139,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
1.162,0.15,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
1.268,0.165,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
1.567,0.201,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
1.795,0.218,"Dai et al., 2016",Measurement of RNA to Protein ratio,Data taken from Table S3,MOPS,NA
0.415888308335967,0.091,"Bremer & Dennis, 2008",,,MIN,0.169117647058824
0.693147180559945,0.103,"Bremer & Dennis, 2008",,,MIN,0.205607476635514
